epoch,train_loss,train_mae,train_rmse,train_mape,train_r2,val_loss,val_mae,val_rmse,val_mape,val_r2,learning_rate
173,613.0216405167539,8.660455,25.06592,40.026512,0.8204428,580.8432304382325,10.338558,24.104445,42.922493,0.8095179,0.0001
174,624.1393633296348,8.673514,25.293297,39.255882,0.8171704,586.1841331481934,10.645903,24.21523,47.465767,0.807763,0.0001
175,603.4678379776132,8.60067,24.871042,39.334675,0.8232239,600.0644798278809,10.467106,24.500847,44.91897,0.8032014,0.0001
176,607.9603431734264,8.757681,24.963661,40.85019,0.8219048,598.4277416229248,10.31817,24.46732,42.307938,0.8037396,0.0001
177,608.9501480200352,8.764328,24.982634,40.093388,0.821634,613.7391544342041,10.701086,24.779604,46.3517,0.79869777,0.0001
178,610.5978074848142,8.702937,25.0171,39.258327,0.82114154,599.6730792999267,10.326304,24.492605,43.249832,0.80333376,0.0001
179,599.8243501614302,8.677803,24.795666,40.038292,0.82429373,599.4740310668946,10.404207,24.48725,41.653908,0.8034197,0.0001
180,606.7531006641877,8.671786,24.936464,39.62056,0.8222927,588.3803127288818,10.527023,24.260891,45.126144,0.8070373,0.0001
181,595.989633609087,8.657385,24.71571,39.300102,0.8254251,611.099105644226,10.480902,24.722637,45.210503,0.79962224,0.0001
182,601.4741119971642,8.662974,24.829718,39.857788,0.8238108,580.7579717636108,10.3570595,24.104374,43.054684,0.80951905,0.0001
183,605.3347078307062,8.753245,24.909067,40.367752,0.8226829,582.7509279251099,10.581926,24.144325,44.12529,0.80888706,0.0001
184,593.2369753356672,8.58287,24.65964,38.91626,0.8262163,576.6582958221436,10.513296,24.017565,46.114674,0.8108885,0.0001
185,580.416706476456,8.561981,24.390184,39.404263,0.82999337,575.2986776351929,10.304324,23.99135,43.449966,0.8113012,0.0001
186,597.2046194484092,8.686623,24.741272,40.762993,0.8250638,594.9552165985108,10.55377,24.396385,43.07689,0.8048759,0.0001
187,593.7247391399155,8.689611,24.669905,39.265892,0.82607156,573.5332887649536,10.327108,23.952826,45.445065,0.8119067,0.0001
188,583.5884937221168,8.526001,24.455265,38.91902,0.8290849,578.1752391815186,10.237699,24.050339,42.848366,0.8103721,0.0001
189,588.957450312427,8.556846,24.568615,40.09569,0.8274969,584.6231786727906,10.451416,24.183788,44.702843,0.8082619,0.0001
190,578.1009066981128,8.473006,24.341972,38.38519,0.8306648,584.9800804138183,10.605888,24.19039,47.89889,0.80815715,0.0001
191,575.075494195661,8.431347,24.277859,38.706375,0.83155566,566.5171329498291,10.17141,23.80641,44.237797,0.81419915,0.0001
192,582.3895201071715,8.4552765,24.4329,39.265484,0.8293974,561.7907625198364,10.25889,23.706648,43.61445,0.8157531,0.0001
193,567.7329766526182,8.360358,24.12279,38.41688,0.8337006,599.0100490570069,10.771252,24.48069,47.36922,0.80352503,0.0001
194,572.1169920864269,8.46782,24.216167,38.723354,0.83241063,570.6510921478272,10.216765,23.89088,43.257324,0.81287825,0.0001
195,576.8898926759377,8.564096,24.316404,40.2513,0.83102036,578.0979843139648,10.351159,24.048485,41.97896,0.8104013,0.0001
196,573.5707044030866,8.549754,24.247156,38.872025,0.8319814,611.7811388015747,11.034084,24.738178,49.82174,0.7993703,0.0001
197,578.2616911505023,8.588287,24.343924,39.310127,0.8306377,577.4814798355103,10.290701,24.03625,43.543987,0.8105942,0.0001
198,569.2495220869015,8.540518,24.154837,40.19771,0.83325845,583.2846004486084,10.500396,24.15491,43.891365,0.8087195,0.0001
199,565.8211079621926,8.458447,24.083132,38.56228,0.83424693,581.8315826416016,10.572445,24.125069,47.00235,0.8091918,0.0001
200,568.6721931848771,8.52819,24.14309,39.360607,0.83342063,575.4930694580078,10.396959,23.99566,44.019993,0.81123334,0.0001
201,568.2584996671758,8.61608,24.134565,40.654182,0.8335382,555.1232023239136,10.369593,23.564661,42.14141,0.8179535,0.0001
202,580.0816342443483,8.597703,24.384157,38.795776,0.8300774,580.1275735855103,10.45599,24.090124,45.181725,0.8097442,0.0001
203,559.6167945372753,8.3662615,23.948788,38.706036,0.83609104,587.2066753387451,10.433787,24.237104,43.150948,0.8074155,0.0001
